STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160329,0.00,0.0,0.0,42,47,34,16.1,320,340,32.0,42.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160330,0.00,0.0,0.0,38,49,24,8.3,180,190,19.9,28.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160331,0.00,0.0,0.0,52,72,44,10.3,230,220,23.9,35.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160401,0.07,0.0,0.0,56,64,51,10.5,180,170,23.0,30.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160402,0.05,0.0,0.0,50,53,37,5.8,190,200,14.1,19.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160403,0.02,0.0,0.2,35,38,20,16.1,310,280,36.9,49.0,-9999,1,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160404,0.06,0.0,1.1,22,25,17,4.3,360,10,12.1,15.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160405,0.00,1.2,0.0,27,37,19,10.5,340,310,21.0,30.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160406,0.02,0.0,0.2,29,40,17,8.3,190,200,19.9,25.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160407,0.48,0.0,0.0,44,50,40,15.2,150,160,31.1,45.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160408,0.00,0.0,0.0,48,55,35,11.4,240,230,23.0,32.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160409,0.00,0.0,0.0,37,47,26,9.4,340,360,23.9,31.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160410,0.00,0.0,0.0,36,47,27,9.6,330,340,21.9,28.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160411,0.01,0.0,0.0,41,50,32,8.9,180,160,19.9,27.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160412,0.25,0.0,0.0,49,52,32,7.8,300,310,21.0,25.9,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160413,0.00,0.0,0.0,41,54,28,6.3,360,340,16.1,21.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160414,0.00,0.0,0.0,43,56,35,9.4,30,40,18.1,33.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160415,0.00,0.0,0.0,45,59,35,12.5,350,30,23.0,38.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160416,0.00,0.0,0.0,47,60,35,8.1,30,40,18.1,32.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160417,0.00,0.0,0.0,45,60,30,4.9,180,160,14.1,17.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160418,0.03,0.0,0.0,49,65,36,5.6,140,110,13.0,16.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
